geo	2011	2012	2013	2014	2015	2016	2017	2018	2019
AT11	3289	3434	3562	3707	3793	3917	4084	4299	4439
AT12	22187	23073	23716	24402	25083	26045	26989	28420	29585
AT13	38946	40502	41209	42222	43298	45217	46618	48600	50738
AT21	8220	8495	8745	8945	9140	9357	9616	10103	10478
AT22	19048	19781	20173	20760	21446	22234	23172	24570	25639
AT31	24647	25811	26752	27438	28413	29464	30448	32129	33480
AT32	9923	10392	10749	10991	11330	11778	12185	12752	13298
AT33	11808	12367	12810	13239	13795	14399	14969	15851	16526
AT34	6216	6432	6760	7052	7327	7635	7969	8363	8696
ATZZ	36	37	34	34	35	36	36	39	39
BE10	38111.8	39203.8	39929.2	40468.7	40194.8	40381.4	41228.6	42032.6	43504.3
BE21	34681.9	35829.3	36576.8	36830.7	37615.4	38309.9	39817.7	41362.6	43107.2
BE22	12214.2	12556.1	12830.1	13278	13154.2	13402.6	13892.4	14428.2	14866
BE23	22375.8	23210.8	23688.9	24032.5	24673.9	25418.5	26425.6	27532.8	28420
BE24	20449.7	21409.3	21717.4	22055.3	22413.2	22850.8	23573.3	24359.4	25359.3
BE25	18363	19057.6	19367.2	19700.4	19889.7	20456.3	21170.9	21988.7	22753.9
BE31	6706.7	6922.6	7230.8	7319.3	7497.5	7681.9	7940.8	8302.4	8691.1
BE32	16055.8	16541.4	16829.4	16921.4	17106	17249	18091.6	18259.5	18793.9
BE33	14641.9	15181	15383.7	15496.9	15429.9	15737.9	16369.5	16910.3	17579
BE34	3213.3	3313.7	3324.3	3350.7	3417	3490.8	3612.3	3739.6	3880.6
BE35	6153	6365.7	6509.5	6530.3	6528.8	6689.2	6911.8	7185.6	7381.5
BEZZ	203.8	214.7	218.5	217	207.5	144.9	152.9	198.4	226.2
BG31	1020.45	1045.53	1112.98	1131.45	1188.27	1239.44	1362.05	1505.46	1616.31
BG32	1187.61	1227.77	1322.5	1378.4	1449.87	1549.4	1702.9	1843.34	2006.74
BG33	1535.73	1620.03	1729.05	1819.36	1925.39	2032.25	2241.01	2478.74	2675.14
BG34	1753.48	1820.62	1989.56	2144.5	2162.56	2355.78	2589.39	2806.58	2829.68
BG41	7133.15	7661.97	8265.06	8707.09	9464.44	10227.62	11393.24	12668.12	13981.65
BG42	1973.49	2072.4	2197.78	2331.34	2491.35	2713.99	3014.33	3361.86	3667.83
CY00	9517.37	9375.61	8342.82	7869.96	7896.09	8196.85	8801.69	9441.47	10264.31
CZ01	17809.23	17967.71	17582.26	17233.91	18128.52	19152.59	21387.18	24338.75	26022.28
CZ02	6604.64	6661.5	6532.1	6432.82	6883.28	7439.63	8462.77	9571.61	10492.17
CZ03	6892.64	6928.31	6790.3	6649.55	7057.26	7503.26	8478.39	9430.26	10148.62
CZ04	5456.93	5327.09	5116.63	4968.51	5268.45	5652.18	6313.99	7062.19	7631.28
CZ05	7992.68	7979.92	7777.37	7665.93	8177.39	8810.13	9912.56	11177.68	12109.12
CZ06	10106.79	10135.27	10036.64	9731.91	10364.68	11166.97	12489.67	14066.36	15205.1
CZ07	6339.93	6431.11	6224.87	6107.68	6542.87	7033.29	7907.05	8875.97	9512.66
CZ08	7009.96	6953.04	6735.45	6568.42	6910.55	7318.64	8049.38	9022.77	9603.86
DE11	86167.69	90392.09	93988.13	97455.33	101896.83	106012.1	111272.52	116033.87	120483.77
DE12	52347.83	54542.66	55958.75	58005.6	59879.69	61961.46	64684.33	66859.18	70085.27
DE13	35798.16	37353.82	38638.42	40328.18	41735.32	43251.09	45115.74	47193.67	49198.27
DE14	32276.49	33729.96	34978.13	36020.41	37462.56	39133	40646.6	42349.11	44403.7
DE21	97257.69	102207.28	106718.47	111753.37	117791.43	123884.74	129765.47	135606.89	143172.99
DE22	18276.43	19159.54	19848.01	20842.39	21763.47	22684.76	23653.35	24655.34	25822.09
DE23	18266.32	19018.02	19652.01	20717.86	21728.6	22733.85	23893.94	25006.69	25857.59
DE24	17169.89	17831.08	18262.02	18887.56	19612.99	20355.57	21199.83	22016.65	22915.76
DE25	33789.37	35500.13	36273.93	37755.43	39330.33	41083.79	42933.79	44454.66	46335.15
DE26	21809.89	22631.15	23189.41	24005.56	24931.32	25720.48	26783.1	27823.41	29173.65
DE27	29619.3	31081.17	32108.4	33485.26	34888.23	36091.24	37820.2	39562.78	41306.93
DE30	54629.38	56657.96	58605.22	61717.9	65500.82	69301.62	74574.57	79905.62	85976.98
DE40	28382.58	28998.04	29863.56	30882.32	32247.78	33430.06	35072.83	36649	38247.21
DE50	14281.46	14793.03	15342.51	15786.76	16246.99	16909.71	17647.91	18397.63	18956.98
DE60	44469.67	46672.19	48702.5	50457.26	52381.79	54770.42	56861.49	59562.94	62913.92
DE71	83430.6	86091.18	87891.04	91537.63	95019.35	98686.85	103584.66	108408.74	113397.54
DE72	16263.76	16722.36	17096.11	17665.52	18218.6	18832.58	19430.66	20315.81	21023.35
DE73	20804.4	21482.55	22212.58	22974.42	23725.88	24295.55	25231.32	26248.68	27151.98
DE80	18684.11	19295.14	19628.5	20347.47	21339.61	22158.02	23082.19	24190.38	25472.26
DE91	27067.63	28666.03	29903.35	31237.55	32649.52	33453.91	34535.25	36295.29	37506.23
DE92	34363.97	35381.61	36434.9	38075.01	39421.19	40969.9	42361.72	44451.09	46944.34
DE93	18678.09	19296.27	19874.15	20787.93	21429.55	22318.21	23246.88	24329.02	25430.87
DE94	34690.39	36044.1	37073.03	38647.5	40326.26	42170.51	43780.21	46192.32	48203.82
DEA1	91928.5	95316.07	96694.05	100586.68	104148.01	107248.15	111160.58	116367.99	121585.25
DEA2	76118.61	79398.83	80903.57	84551.92	87623.74	91084.62	95102.13	100101.39	104626.38
DEA3	37061.83	38572.24	39319.61	40687.93	42110.15	43660.41	45308.95	47530.29	49485.36
DEA4	32449.33	33841.71	34544.58	36132.36	37344.44	38679.12	40261.01	42196.74	44006.55
DEA5	56336.27	58356.12	59467.7	61821.56	63470.21	65317.45	67491.67	70735.52	73635.15
DEB1	20467.38	21033.42	21808.52	22501.08	23357.78	24346.56	25371.47	26229.08	27434.05
DEB2	6841.73	7019.26	7226.86	7471.58	7770.75	8072.6	8344.31	8593.55	8907.59
DEB3	31236.32	32496.71	33831.97	34976.85	36108.76	36894.14	37914.06	39560.31	41212
DEC0	16790.62	17057.58	17416.69	17775.88	18156.17	18622.05	19178.58	19899.47	20352.84
DED2	20617.37	21420.42	22084.7	22983.96	24084.37	25003.52	26126.32	27471.32	28925.23
DED4	17645.98	18160.92	18540.85	19152.67	19995.94	20750.72	21487.91	22241.94	23235.99
DED5	13330.57	13903.88	14582.44	15193.62	16054.57	16938.24	17779.47	18712.82	19767.7
DEE0	26555.74	27391.35	27786.96	28682.98	29708.73	30683.87	31824.16	32925.45	34127.73
DEF0	37254.93	38357.72	39345.8	40461.56	41926.87	43632.38	45586.77	48009.29	50329.54
DEG0	26681.76	27639.41	28373.65	29414.2	30587.47	31584.75	32979.98	34137.06	35234.04
DK01	51088.23	51963.54	53023.37	54574.77	56683.07	58712.59	60854.19	62717.76	64996.85
DK02	13600.11	13663.5	13742.61	13949.27	14294.72	14613.98	15028.9	15345.89	15856.34
DK03	24885.78	25055.82	25488.54	26144.1	26760.43	27701.88	28463.42	29224.76	30254.35
DK04	27803	28065.48	28267.88	28959.19	29737.49	30726.78	32050.92	33118.53	34119.69
DK05	11704.29	11892.88	12075.25	12243.25	12475.36	12954.12	13285.43	13653.6	13927.08
DKZZ	636.19	679.9	657.42	651.12	698.38	781.85	678.35	814.28	813.41
EE00	7451.6	7997	8530.8	9168.9	9761.1	10379.7	11317.7	12373.3	13556.7
EL30	35309.22	32463.02	29607.25	29366.7	28942.38	29388.4	30007.9	31057.64	31919.08
EL41	1135.22	1023.71	953.03	988.39	953.64	958.42	964.08	986.77	1014.33
EL42	2467.17	2163.87	2085.23	2185.92	2187.9	2202.75	2213.53	2309.15	2383.74
EL43	3572.86	3169.17	3035.41	3158.42	3125.63	3187.46	3246.53	3355.49	3421.27
EL51	3194.58	2916.28	2624.86	2645.75	2568.48	2630.41	2628.51	2690.49	2724.12
EL52	10462.58	9608.59	8741.31	8679.24	8751.97	9071.38	9145.71	9480.37	9701.8
EL53	1906.22	1643.81	1472.64	1565.27	1499.42	1418.79	1407.87	1397.51	1302.53
EL54	1695.18	1497.52	1405.89	1442.21	1402.1	1438.69	1451.18	1485.67	1511.97
EL61	3594.34	3438.38	3223.51	3298.78	3239.62	3313.83	3335.72	3424.08	3553.88
EL62	1231.29	1116.94	1033.5	1082.2	1064.61	1102.99	1096.26	1142.83	1179.08
EL63	3387.38	3102.14	2808.92	2853.83	2781.66	2798.37	2793.94	2880.94	2938.03
EL64	3337.45	2991.75	2708.79	2697.54	2681.26	2825.12	2881.97	2967.34	3040.11
EL65	3037.39	2718.09	2562.74	2576.58	2571.63	2655.31	2680.22	2721.76	2786.38
ES11	25546.7	23826.1	23236.7	23322.9	24269.8	24743.2	25571.3	26560	27860.9
ES12	10693.2	9913.5	9458.5	9461.4	9688.4	9770.9	10132.2	10473.2	10891.6
ES13	5845	5426.1	5272.7	5326.5	5474.3	5608.9	5769.2	6037.8	6367.6
ES21	31394.7	29917.8	29019.9	29152	30126.9	30876.9	31989.2	32975	34519.1
ES22	8708.1	8132.1	7905.7	7962.7	8174	8462.2	8795.9	9169.5	9607.7
ES23	3377.6	3168.9	3068.7	3091.3	3176.3	3255.8	3341.3	3486.5	3702.5
ES24	15647.4	14637.3	14201	14220.1	14621.7	14948	15611	16267.1	16981.1
ES30	102772.4	98801.6	96738.3	98825.4	102929.9	105147.9	108623.1	112562.8	119993.4
ES41	24656.5	23090.3	22158	22196.5	22997	23300.9	24147.3	24972.6	26230
ES42	17560.6	15892	15189.4	15156.9	15661.1	15962.6	16628.5	17280.4	18121.4
ES43	8125.8	7493.4	7396.9	7412.6	7682.2	7874.6	8098.8	8446.1	8907.9
ES51	97294.2	91667.5	88896.2	89990.4	94322.3	96741.6	100596.6	105256.9	110838.9
ES52	45843.4	42445.8	41132.3	42067.8	43885.8	44888.1	47266.4	49535	52222.8
ES53	12162.2	11403.6	11145.9	11414	12043.3	12505.7	13126.8	13885.1	14749.1
ES61	68644.2	63139.6	60853.3	61679.6	64273.7	65391.5	68050	71345.4	75384.9
ES62	13253.7	12325.6	11998.3	12136.2	12679.5	13052.2	13773.7	14351.2	14953.2
ES63	905.5	847.1	867.6	867.4	896.8	919.9	923.2	960.5	1007.7
ES64	810.1	761.6	775.9	788.7	821.1	837.9	834.3	867.3	909.7
ES70	19229	17903.9	17559.7	17870.6	18549.7	18905	19859.6	20760	22081.5
ESZZ	857.7	606.2	646	588	618.3	530.3	526.4	525.6	558
FI19	22055.22	22643	22904.68	22946.71	22978.82	23144.71	23389.58	24285.28	24752.84
FI1B	36311.4	37824.83	38610.35	38427.75	39690.25	40987.56	41191.68	43142.43	45050.5
FI1C	18357.29	18911.22	18677.58	18777.25	18780.96	18769.6	19019.25	19545.04	20045.05
FI1D	18971.27	19726.86	19743.76	20007.58	19877.29	20097.8	20206.3	20884.79	21268.3
FI20	687.63	700.83	714.92	729.09	710.11	712.37	705.34	719.25	770.3
FIZZ	71.19	64.26	48.72	49.62	46.58	44.97	45.86	56.22	74.01
FR10	319598.83	328358.25	330713.44	336254.6	341941.86	357388.53	369778.01	382121.18	378844.92
FRB0	35187.45	35701.92	36305.62	36684.57	36994.63	36951.75	37641.87	38131.81	38313.84
FRC1	22391.77	22738.39	23008.13	23204.65	23293.48	23027.11	23581.71	23868.72	24131.82
FRC2	15577.61	15689.39	15823.27	15963.45	16107.54	15932.45	16306.84	16490.89	17661.28
FRD1	19448.16	19757.4	20103.71	20311.35	20474.45	20564.01	21051.18	21451.32	21486.35
FRD2	26968.56	27234.01	27651.65	27863.75	28044.15	27644.02	28011.22	28516.95	29340.15
FRE1	56979.59	57734.35	58477	59266.72	59823.85	60186.17	61943.04	63392.2	66043.38
FRE2	24018.33	24171.7	24413.57	24717.31	24912.14	24450.62	24956.92	25276.71	25343.71
FRF1	29507.85	29855.65	30338.61	30692.52	30949.53	30851.37	31841.31	32636.71	33515.93
FRF2	18218.89	18628.65	18628.39	18857.3	18882.44	18616.33	18945.13	19268.39	18666.08
FRF3	30016.89	30246.79	30491.78	30611.07	30682.97	30432.98	31100.27	31409.58	32749.42
FRG0	53068.2	54497.5	56255.92	56687.11	57554.46	58179.21	59890.26	61839.97	62738.52
FRH0	43988.25	44758.64	45692.68	46619.15	47417.19	47605.2	49186.39	50567.85	51029.17
FRI1	46013.59	47191.52	48424.78	49207.08	49979.56	50927.88	52707.74	54368.8	54452.33
FRI2	9407.56	9495.21	9623.65	9700.15	9743.73	9662.83	9890.55	10027.48	10094.81
FRI3	22756.57	23209.5	23719.11	23987.89	24057.92	24248.79	24818.37	25393.77	25330.94
FRJ1	32394.37	33130.58	33829.23	34392.66	34950.37	35431.04	36819.07	37774.48	37651.83
FRJ2	42990.98	44434.25	45840.13	46708.66	47382.73	48401.86	50035.56	51526.95	51942.19
FRK1	17697.11	18041.01	18471.6	18997.46	18990.44	19038.19	19380.57	19298.09	19977.58
FRK2	103505.87	106036.99	108217.3	110430.54	112082.66	113612.88	117842.47	121096.56	124320.97
FRL0	73687.03	75220.16	76930.53	78095.44	79176.93	80406.51	83242.08	85284.24	86716.42
FRM0	4293.64	4427.6	4604.28	4678.89	4736.19	4811.04	5080.18	5244.73	5182.67
FRY1	4726.69	4807.54	4735.31	4947.49	4951.5	5210.6	5316.48	5494.12	5603.14
FRY2	4879.41	4932.65	4900.32	5056.8	5144.99	5420.79	5609.74	5733.53	5859.06
FRY3	2103.8	2156.46	2212.87	2302.22	2297.02	2454.99	2529.23	2694.72	2760.54
FRY4	8481.31	8854.46	8977.09	9286.56	9548.82	10386.17	10740.04	10971.1	11330.89
FRY5	1020.71	1045.55	1079.01	1175.29	1299.86	1443.85	1594.93	1652	1783.08
HR03	6691.58	6563.91	6384.86	6428.76	6538.4	6843.38	7294.58	7864.76	8148.23
HU11	17407.94	17206.44	17194.07	16941.02	17478.6	18480.19	20499.38	21395.68	22980.72
HU12	4144.97	4187.01	4221.6	4265.07	4378.99	4793.58	5104.64	5331.4	5631.29
HU21	4303.16	4372.32	4349.15	4494.42	4735.49	4948.74	5399.83	5831.51	6213.12
HU22	4090.86	4166.05	4155.35	4402.06	4587.61	4833.33	5251.76	5510.15	5710.51
HU23	2867.04	2871.69	2894.92	2942.89	3064.79	3213.26	3518.54	3664.69	3790.32
HU31	3496.61	3486.18	3537.62	3656.15	3843.41	4027.44	4424.72	4731.26	4881.43
HU32	4149.25	4262.25	4294.24	4478.53	4647.31	4923.49	5353.97	5627.06	5832.88
HU33	3930.23	3988.4	4001.56	4148.47	4343.37	4561.58	4982.29	5294.89	5569.49
HUZZ	0	0	0	0	0	0	0	0	0
IE04	9326.69	9240.22	8989.6	9295.82	9784.75	9819.78	10725.65	11319.08	11810.84
IE05	19962.22	20114.45	20223.89	21144.16	21779.18	23986.81	25381.9	26923.64	28549.38
IE06	39346.05	39928.97	41000.68	42547.02	45850.68	48664.15	52161.94	55572.05	60142.3
ITC1	51076.9	50090.9	49718.6	49727	51078.6	51819.7	53136.8	55101.9	55969.4
ITC2	1668.4	1653.4	1617.2	1578.6	1596.4	1616.9	1679.6	1711.8	1718.4
ITC3	17403.2	17237.2	17134.8	17251	17363.8	17548.9	18319.5	18549.9	18848.5
ITC4	139429.4	138864.7	138234.8	139755.6	142887	147095.9	151125.5	157929.6	160314.2
ITF1	12664.6	12262.9	12039.7	12035.4	12227.6	12228.8	12544.1	12893.9	13104.1
ITF2	2491.9	2342.5	2290.3	2246.1	2285.5	2345	2367.8	2453.4	2469.1
ITF3	41686.6	40522.6	39902.8	39806.1	40586	41602.2	42281.8	43221.7	44216.7
ITF4	30247.1	29928.3	28991.9	28903.5	29488.8	30106.4	30466.6	31451.2	32379.3
ITF5	4487.6	4256.2	4184.7	4217	4547.1	4630.7	4641.1	4837.6	4994.7
ITF6	13316.3	12949.5	12621.7	12518.5	12545.8	12840.2	12893.7	13018.1	13098.2
ITG1	36686.5	35596.7	34830	34350.6	34800.2	35040.2	35472.4	35687.3	36386.5
ITG2	13524.8	13426.4	13221	13001.7	13189.8	13382.4	13597.4	14142.5	14576
ITH1	8150.3	8234.9	8309.4	8358.5	8590	8917.6	9344.8	9836.1	10197.3
ITH2	7250.4	7114.7	7187.2	6990.3	7078.5	7199.4	7327.7	7622.5	7888.1
ITH3	58022.3	57485.4	56944.7	57800.5	59079.2	60936.5	62882.9	65144.7	67181.7
ITH4	15563.1	15184.7	14974.3	14844.6	15190.6	15500.6	15744.5	16236.6	16782.6
ITH5	56748.3	56494.8	56520.7	56901.6	58067.2	59510.6	62112.9	64182.5	65651.2
ITI1	40641.2	40144.4	40000.1	40030.7	40858.6	42148.4	43232.5	44963.3	45938.9
ITI2	8733.2	8492.8	8440.9	8249.5	8369	8504.7	8695.8	9031.4	9223.9
ITI3	15368.2	15262.7	15043.3	15085.5	15333.3	15696.4	16088.7	16664.3	17140.8
ITI4	75767	74498.4	73820.3	74183.7	75900.6	78046.5	79591.7	81781.3	82928.4
ITZZ	549.5	523.3	527.4	524	520.6	504.3	505.6	516.9	536
LT01	4872.45	5188.54	5521.92	5879.94	6464.88	7036.73	7694.79	8484.43	9531.71
LT02	7404.99	7774.85	8214.28	8728.23	9179.62	9975.53	10866.94	11899.63	13125.31
LU00	21107.47	21904.33	22980.06	24041.54	25058.09	25994.45	27765.46	29614.24	31248.07
LV00	7998.76	8821.72	9466.8	10095.55	10893.71	11609.1	12525.65	13909.81	14970.79
MK00	2632.93	2652.33	2596.53	2861.14	3005.53	3277.82	3513.87	3724.46	
MT00	3058.74	3233.43	3442.63	3703.19	4082.87	4484.82	4970.59	5446.03	5946.78
MTZZ	12.2	12.6	13.15	13.54	13.78	14.32	15.36	16.87	18.15
NL11	9099	9205	9299	9389	9450	9864	10160	10559	11000
NL12	8853	8863	8718	8781	8789	9120	9369	9804	10366
NL13	6970	6995	6918	7077	7045	7076	7257	7537	7904
NL21	19145	19233	19223	19304	19339	20089	20819	21914	22938
NL22	34081	34452	34273	34522	34577	35698	37019	38627	40442
NL23	5459	5547	5449	5507	5524	5678	5904	6227	6454
NL31	30032	30598	30810	30849	30809	31612	33373	34954	37380
NL32	63259	63992	65113	66609	67886	70105	72681	77141	81767
NL33	70728	72050	71831	72413	72673	74710	76584	79722	83300
NL34	5693	5736	5698	5741	5725	5873	5988	6305	6634
NL41	47236	47941	48015	48687	49187	50900	53109	55531	58350
NL42	18756	19009	19075	19031	19001	19608	20305	21263	22115
NLZZ	247	246	255	256	262	253	251	257	217
NO02	8726.49	9522.41	9571.01	9425.81	9183.32	9165.29	9424.68	9710.13	9806.01
NO06	12062.51	13454.4	13696.18	13374.99	12921.02	12781.63	13483.65	13734.2	14147.05
NO07	12558.45	13810.52	13818.13	13543.88	13029.19	12987.21	13454.06	13803.07	14102.59
NOZZ	2708.32	3045.04	3254.77	3233.86	1084.74	1001.23	1030.45	1087.47	1163.42
PL21	11034.56	11407.99	11775.34	12450.59	13240.12	13740.14	15403.34	16840.55	18086.37
PL22	19431.15	19767.01	19930.2	20680.64	20987.55	20977.26	23058.73	25004.34	26426.61
PL41	12729.94	13205.96	13513.52	14256.15	15052.46	15443.71	17108.06	18490.2	19719.38
PL42	5030.09	5194.16	5279.33	5512.75	5724.77	5783.6	6291.99	6764.52	7206.35
PL43	3127.21	3164.62	3174.75	3378.58	3487.97	3553.81	3897.35	4251.55	4492.51
PL51	11558.51	11995.6	12293.27	13105.66	13668.41	13990.65	15544.98	16945.68	17987.48
PL52	3072.13	3155.78	3146.87	3322.66	3425.59	3469.7	3784.59	4088.7	4368.02
PL61	6177.74	6355.53	6416.2	6699.33	6974.26	7117.71	7753.58	8398.45	8855.87
PL62	3869.82	3950.58	3965.22	4143.82	4298.65	4349.33	4708.25	5015.14	5293.19
PL63	7887.2	8222.81	8447.17	8938.89	9274.63	9587.46	10631.9	11600.14	12477.43
PL71	8305.59	8486.15	8567.72	9003.9	9348.49	9448.8	10393.94	11280.3	12122.35
PL72	3433.72	3447.08	3430.61	3568.1	3652.4	3679.87	4035.47	4376.16	4600.47
PL81	5500.41	5639.11	5735.56	5999.33	6140.87	6165.2	6756.64	7212.48	7708.49
PL82	5729.26	5826.94	6003.81	6262.94	6431.97	6560.09	7249.24	7946.26	8505.68
PL84	3114.11	3154.11	3230.49	3388.86	3518.56	3549.23	3918.72	4280.42	4591.4
PL91	24380.67	25094.27	25513.76	26622.61	27835.85	28814.17	31877.38	34996.13	37669.16
PL92	6066.59	6270.94	6405.96	6658.46	6792.14	6893.56	7584.21	8216.59	8877.05
PT11	23589.57	21975.25	22321.3	22705.2	23402.96	24482.96	26099.43	27842.78	29453.63
PT15	3035.06	2757.09	2747.2	2797.57	2898.53	3101.06	3374.93	3665.36	3930.29
PT16	14701.14	13508.53	13627.26	13796.32	14236.01	14671.66	15520.98	16494.23	17340.94
PT17	31569.85	29219.55	29602.57	29081.98	29722.84	30571.83	32297.61	34367.11	36678.69
PT18	4810.04	4403.81	4405.79	4493.13	4575.01	4694.06	4936.51	5221.42	5432.73
PT20	1745.81	1571.78	1619.13	1616.95	1676.57	1729.7	1807.07	1885.62	1992.76
PT30	2003.97	1792.98	1781.78	1767.39	1805.3	1874.35	1967.81	2067.29	2174.14
PTZZ	138.38	84.42	102.12	92.6	89.07	87.83	92.98	89.32	96.15
RO11	4767.36	4844.91	5182.87	5846.77	6057.63	7271.18	8673.37	9706.98	10838.98
RO12	4738.58	4785.68	5060.4	5438.78	5745.4	6900.25	8065.12	9125.05	9951.85
RO21	4164.07	4101	4305.68	4671.08	4760.67	5675.49	6830.59	7839.71	8878.32
RO22	4600.5	4464.42	4724.85	5028.35	5136.7	5735.08	6657.11	7446.18	8290.43
RO31	4892.93	4750.72	5033.22	5296.58	5510.84	6289.86	7454.12	8257.41	9052.09
RO32	12715.34	12650.53	13376.44	14234.56	15316.51	17868.68	20037.84	22693.1	24918.15
RO41	3547.31	3313.95	3388.89	3652.86	3571.53	4019.91	4711.39	5596.05	6189.64
RO42	4181.08	4485.01	4654.13	4937.87	5329.85	6181.16	7144.35	7651.16	8398.86
ROZZ	88.49	63.82	86.9	81.15	91.42	99.26	108.26	112.76	110.83
SE11	52196.5	58857.78	61248.57	60888.17	62409.58	65118.76	67226.6	67073.78	67926.74
SE12	30702.67	30114.66	31374.21	31010.83	31445.02	32500.71	33515.27	33395.3	33385.84
SE21	15181.29	15992.58	16435.53	16284.55	16458.87	17020.88	17482.02	17219.03	17126.67
SE22	24909.85	27222.8	28188.64	27787.88	28160.05	29206.35	29996.58	29483.93	29688.17
SE23	35701.12	39708.3	41189.04	40646.92	41357.89	42986.72	44454.24	44306.76	44575.46
SE31	14771.87	15205.48	15586.55	15231.41	15251.08	15655.04	16044.77	15765.67	15665.17
SE32	6486.19	6898.47	7079.23	6938.07	6935.8	7109.38	7267.59	7140.95	7098.24
SE33	9262	10189.45	10613.65	10415.89	10378.47	10609.47	10768.23	10649.23	10622.62
SEZZ	90.37	78.81	81.26	77.6	74.62	76.78	78.15	58	56
SI03	8096.59	7887.86	7703.81	7849.72	8102.28	8496.45	9056.4	9649.31	10431.29
SI04	10825.32	10599.02	10369.61	10558.27	10833.09	11469.55	12189.63	13169.39	14151.33
SK01	7653.68	7940.44	7969.77	8258.53	8750.62	9250.91	10036.55	10773.16	11439.94
SK02	7897.4	8055.14	8167.61	8568.57	9156.87	9611.45	10359.56	11293.96	12176.91
SK03	5259.13	5354.35	5653.18	5888.11	6286.24	6602.84	7087.61	7765.12	8401.03
SK04	5258.98	5502.44	5608.87	5847.24	6178.01	6461.96	6942.43	7502.42	8200.5